ID_person,ID,Model,Power,Price
351,3863,BMW,142.0,292814
6567,5890,Infiniti,235.0,2881566
15976,8934,BMW,471.0,557062
10177,54,BMW,496.0,3258697
10177,7398,LADA,205.0,3911653
9839,4877,Subaru,200.0,2923172
9839,11989,Audi,362.0,2722561
16966,354,Ford,394.0,479667
5675,11477,Ford,266.0,3323524
19410,4145,Daewoo,202.0,2459617
11684,6376,BMW,352.0,471461
11684,6420,Ford,356.0,830836
11684,11354,Toyota,389.0,3189712
10143,5048,Audi,427.0,1901122
4772,1357,Nissan,416.0,3301481
18811,970,BMW,407.0,2894249
18811,1277,Infiniti,472.0,2277158
18811,4427,LADA,447.0,3268959
18811,5756,BMW,492.0,2257812
12260,8077,KIA,179.0,2458072
11666,6857,Infiniti,135.0,1379222
11666,13065,Toyota,122.0,2265226
4379,11002,Toyota,331.0,1615659
13072,10166,LADA,243.0,260650
9882,6538,Subaru,254.0,2886721
17201,2111,Mercedez-Benz,80.0,1015997
16984,7044,Ford,464.0,3458240
4351,1863,LADA,324.0,1172855
4351,14079,Subaru,204.0,2511047
6599,4052,BMW,440.0,593444
6599,7083,Audi,156.0,257283
241,2706,Ford,83.0,237201
241,8853,Toyota,325.0,1939671
12993,3873,LADA,444.0,1540848
12993,8457,Ford,94.0,950025
18492,12285,KIA,302.0,1424354
11405,12884,Daewoo,70.0,376324
11722,5828,KIA,430.0,452137
17268,8584,Toyota,125.0,1929686
14496,2709,Toyota,282.0,2386534
5769,11170,Infiniti,279.0,2565600
13946,9347,Toyota,381.0,3010510
14505,771,Nissan,262.0,1040937
14505,14275,Subaru,166.0,2327992
5752,6450,LADA,256.0,329212
19712,5103,Ford,198.0,1183818
19712,12893,Ford,107.0,3424893
2890,413,BMW,295.0,3651467
2890,5016,Ford,243.0,3366315
2890,5471,Audi,113.0,2170122
12341,373,BMW,411.0,2963015
12341,6278,Subaru,408.0,3782926
19596,166,Nissan,90.0,3951606
19596,9281,Ford,104.0,1508839
15788,5746,LADA,437.0,3010417
